averageMultiplayer,bottomBarrierPips,endingHour,openingInterval,slPips,startingHour,tpMultiplier,moveSlPips,resultPips,date
1.5,0.006,12,1,0.0015,8,1.4,0.001,0.010703999999999827,25
1.5,0.005,12,1,0.0015,8,1.4,0.0,0.010703999999999827,25
1.5,0.005,12,1,0.0015,8,1.4,0.0005,0.010703999999999827,25
1.5,0.005,12,1,0.0015,8,1.4,0.001,0.010703999999999827,25
1.5,0.004,12,1,0.0015,8,1.4,0.0,0.010703999999999827,25
1.5,0.005,12,1,0.0015,8,1.4,0.0015,0.010703999999999827,25
1.5,0.006,12,1,0.0015,8,1.4,0.0015,0.010703999999999827,25
1.5,0.006,12,1,0.0015,8,1.4,0.0,0.010703999999999827,25
1.5,0.006,12,1,0.0015,8,1.4,0.0005,0.010703999999999827,25
1.5,0.004,12,1,0.0015,8,1.4,0.0005,0.010703999999999827,25
1.5,0.004,12,1,0.0015,8,1.4,0.001,0.010703999999999827,25
1.5,0.004,12,1,0.0015,8,1.4,0.0015,0.010703999999999827,25
1.5,0.005,12,1,0.0015,8,1.3,0.0,0.010583999999998839,25
1.5,0.005,12,1,0.0015,8,1.3,0.001,0.010583999999998839,25
1.5,0.005,12,1,0.0015,8,1.3,0.0015,0.010583999999998839,25
1.5,0.004,12,1,0.0015,8,1.3,0.0,0.010583999999998839,25
1.5,0.006,12,1,0.0015,8,1.3,0.0015,0.010583999999998839,25
1.5,0.006,12,1,0.0015,8,1.3,0.001,0.010583999999998839,25
1.5,0.004,12,1,0.0015,8,1.3,0.0015,0.010583999999998839,25
1.5,0.004,12,1,0.0015,8,1.3,0.001,0.010583999999998839,25
1.5,0.004,12,1,0.0015,8,1.3,0.0005,0.010583999999998839,25
1.5,0.006,12,1,0.0015,8,1.3,0.0005,0.010583999999998839,25
1.5,0.006,12,1,0.0015,8,1.3,0.0,0.010583999999998839,25
1.5,0.005,12,1,0.0015,8,1.3,0.0005,0.010583999999998839,25
1.5,0.005,14,1,0.0015,8,1.5,0.0015,0.009634000000000854,25
1.5,0.005,14,1,0.0015,8,1.5,0.001,0.009634000000000854,25
1.5,0.005,14,1,0.0015,8,1.5,0.0005,0.009634000000000854,25
1.5,0.005,14,1,0.0015,8,1.5,0.0,0.009634000000000854,25
1.5,0.003,14,1,0.0015,8,1.5,0.0,0.009634000000000854,25
1.5,0.003,14,1,0.0015,8,1.5,0.0005,0.009634000000000854,25
1.5,0.003,14,1,0.0015,8,1.5,0.001,0.009634000000000854,25
1.5,0.004,14,1,0.0015,8,1.5,0.0,0.009634000000000854,25
1.5,0.006,14,1,0.0015,8,1.5,0.0015,0.009634000000000854,25
1.5,0.003,14,1,0.0015,8,1.5,0.0015,0.009634000000000854,25
1.5,0.004,14,1,0.0015,8,1.5,0.0015,0.009634000000000854,25
1.5,0.004,14,1,0.0015,8,1.5,0.001,0.009634000000000854,25
1.5,0.004,14,1,0.0015,8,1.5,0.0005,0.009634000000000854,25
1.5,0.006,14,1,0.0015,8,1.5,0.001,0.009634000000000854,25
1.5,0.006,14,1,0.0015,8,1.5,0.0005,0.009634000000000854,25
1.5,0.006,14,1,0.0015,8,1.5,0.0,0.009634000000000854,25
1.5,0.006,14,1,0.0015,8,1.4,0.001,0.009173999999999849,25
1.5,0.006,14,1,0.0015,8,1.4,0.0,0.009173999999999849,25
1.5,0.006,14,1,0.0015,8,1.4,0.0005,0.009173999999999849,25
1.5,0.005,14,1,0.0015,8,1.4,0.0005,0.009173999999999849,25
1.5,0.006,14,1,0.0015,8,1.4,0.0015,0.009173999999999849,25
1.5,0.005,14,1,0.0015,8,1.4,0.0015,0.009173999999999849,25
1.5,0.003,14,1,0.0015,8,1.4,0.0005,0.009173999999999849,25
1.5,0.004,14,1,0.0015,8,1.4,0.0,0.009173999999999849,25
1.5,0.003,14,1,0.0015,8,1.4,0.0,0.009173999999999849,25
1.5,0.005,14,1,0.0015,8,1.4,0.001,0.009173999999999849,25
1.5,0.005,14,1,0.0015,8,1.4,0.0,0.009173999999999849,25
1.5,0.003,14,1,0.0015,8,1.4,0.001,0.009173999999999849,25
1.5,0.003,14,1,0.0015,8,1.4,0.0015,0.009173999999999849,25
1.5,0.004,14,1,0.0015,8,1.4,0.0005,0.009173999999999849,25
1.5,0.004,14,1,0.0015,8,1.4,0.001,0.009173999999999849,25
1.5,0.004,14,1,0.0015,8,1.4,0.0015,0.009173999999999849,25
1.5,0.006,12,1,0.0015,8,1.2,0.0,0.009084000000000113,25
1.5,0.004,12,1,0.0015,8,1.2,0.0,0.009084000000000113,25
1.5,0.004,12,1,0.0015,8,1.2,0.0005,0.009084000000000113,25
1.5,0.004,12,1,0.0015,8,1.2,0.0015,0.009084000000000113,25
1.5,0.004,12,1,0.0015,8,1.2,0.001,0.009084000000000113,25
1.5,0.005,12,1,0.0015,8,1.2,0.0,0.009084000000000113,25
1.5,0.005,12,1,0.0015,8,1.2,0.0005,0.009084000000000113,25
1.5,0.005,12,1,0.0015,8,1.2,0.001,0.009084000000000113,25
1.5,0.005,12,1,0.0015,8,1.2,0.0015,0.009084000000000113,25
1.5,0.006,12,1,0.0015,8,1.2,0.0005,0.009084000000000113,25
1.5,0.006,12,1,0.0015,8,1.2,0.0015,0.009084000000000113,25
1.5,0.006,12,1,0.0015,8,1.2,0.001,0.009084000000000113,25
1.5,0.004,12,1,0.0015,8,1.5,0.001,0.009052000000000471,25
1.5,0.005,12,1,0.0015,8,1.5,0.0005,0.009052000000000471,25
1.5,0.005,12,1,0.0015,8,1.5,0.0,0.009052000000000471,25
1.5,0.005,12,1,0.0015,8,1.5,0.0015,0.009052000000000471,25
1.5,0.006,12,1,0.0015,8,1.5,0.001,0.009052000000000471,25
1.5,0.006,12,1,0.0015,8,1.5,0.0005,0.009052000000000471,25
1.5,0.006,12,1,0.0015,8,1.5,0.0,0.009052000000000471,25
1.5,0.004,12,1,0.0015,8,1.5,0.0015,0.009052000000000471,25
1.5,0.006,12,1,0.0015,8,1.5,0.0015,0.009052000000000471,25
1.5,0.005,12,1,0.0015,8,1.5,0.001,0.009052000000000471,25
1.5,0.004,12,1,0.0015,8,1.5,0.0005,0.009052000000000471,25
1.5,0.004,12,1,0.0015,8,1.5,0.0,0.009052000000000471,25
1.5,0.004,11,1,0.001,6,1.3,0.0005,0.00888836363636628,27
1.5,0.003,11,1,0.001,6,1.3,0.0,0.00888836363636628,27
1.5,0.003,11,1,0.001,6,1.3,0.0005,0.00888836363636628,27
1.5,0.005,11,1,0.001,6,1.3,0.0015,0.00888836363636628,27
1.5,0.005,11,1,0.001,6,1.3,0.001,0.00888836363636628,27
1.5,0.005,11,1,0.001,6,1.3,0.0005,0.00888836363636628,27
1.5,0.005,11,1,0.001,6,1.3,0.0,0.00888836363636628,27
1.5,0.006,11,1,0.001,6,1.3,0.0005,0.00888836363636628,27
1.5,0.004,11,1,0.001,6,1.3,0.0,0.00888836363636628,27
1.5,0.006,11,1,0.001,6,1.3,0.0,0.00888836363636628,27
1.5,0.004,11,1,0.001,6,1.3,0.001,0.00888836363636628,27
1.5,0.004,11,1,0.001,6,1.3,0.0015,0.00888836363636628,27
1.5,0.003,11,1,0.001,6,1.3,0.001,0.00888836363636628,27
1.5,0.003,11,1,0.001,6,1.3,0.0015,0.00888836363636628,27
1.5,0.006,11,1,0.001,6,1.3,0.0015,0.00888836363636628,27
1.5,0.006,11,1,0.001,6,1.3,0.001,0.00888836363636628,27
1.5,0.004,14,1,0.001,8,1.2,0.0005,0.008710000000003293,25
1.5,0.004,14,1,0.001,8,1.2,0.001,0.008710000000003293,25
1.5,0.004,14,1,0.001,8,1.2,0.0015,0.008710000000003293,25
1.5,0.003,14,1,0.001,8,1.2,0.0005,0.008710000000003293,25
1.5,0.003,14,1,0.001,8,1.2,0.0,0.008710000000003293,25
1.5,0.006,14,1,0.001,8,1.2,0.0015,0.008710000000003293,25
1.5,0.006,14,1,0.001,8,1.2,0.001,0.008710000000003293,25
1.5,0.006,14,1,0.001,8,1.2,0.0005,0.008710000000003293,25
1.5,0.006,14,1,0.001,8,1.2,0.0,0.008710000000003293,25
1.5,0.004,14,1,0.001,8,1.2,0.0,0.008710000000003293,25
1.5,0.005,14,1,0.001,8,1.2,0.0,0.008710000000003293,25
1.5,0.003,14,1,0.001,8,1.2,0.001,0.008710000000003293,25
1.5,0.005,14,1,0.001,8,1.2,0.0005,0.008710000000003293,25
1.5,0.005,14,1,0.001,8,1.2,0.0015,0.008710000000003293,25
1.5,0.005,14,1,0.001,8,1.2,0.001,0.008710000000003293,25
1.5,0.003,14,1,0.001,8,1.2,0.0015,0.008710000000003293,25
1.5,0.003,12,1,0.0015,8,1.5,0.0005,0.008284000000000147,25
1.5,0.003,12,1,0.0015,8,1.5,0.001,0.008284000000000147,25
1.5,0.003,12,1,0.0015,8,1.5,0.0015,0.008284000000000147,25
1.5,0.003,12,1,0.0015,8,1.5,0.0,0.008284000000000147,25
1.5,0.003,12,1,0.0015,8,1.3,0.0,0.00800399999999879,25
