averageMultiplayer,bottomBarrierPips,endingHour,openingInterval,slPips,startingHour,tpMultiplier,moveSlPips,resultPips,date
1.5,0.006,20,1,0.001,15,1.5,0.001,0.01805654545454861,30
1.5,0.005,20,1,0.001,15,1.5,0.0015,0.01805654545454861,30
1.5,0.005,20,1,0.001,15,1.5,0.0,0.01805654545454861,30
1.5,0.005,20,1,0.001,15,1.5,0.0005,0.01805654545454861,30
1.5,0.005,20,1,0.001,15,1.5,0.001,0.01805654545454861,30
1.5,0.004,20,1,0.001,15,1.5,0.0,0.01805654545454861,30
1.5,0.004,20,1,0.001,15,1.5,0.0005,0.01805654545454861,30
1.5,0.004,20,1,0.001,15,1.5,0.0015,0.01805654545454861,30
1.5,0.004,20,1,0.001,15,1.5,0.001,0.01805654545454861,30
1.5,0.006,20,1,0.001,15,1.5,0.0005,0.01805654545454861,30
1.5,0.006,20,1,0.001,15,1.5,0.0,0.01805654545454861,30
1.5,0.006,20,1,0.001,15,1.5,0.0015,0.01805654545454861,30
1.5,0.004,19,1,0.001,15,1.5,0.0,0.016316545454548304,30
1.5,0.006,19,1,0.001,15,1.5,0.0,0.016316545454548304,30
1.5,0.005,19,1,0.001,15,1.5,0.0,0.016316545454548304,30
1.5,0.005,19,1,0.001,15,1.5,0.0005,0.016316545454548304,30
1.5,0.005,19,1,0.001,15,1.5,0.001,0.016316545454548304,30
1.5,0.006,19,1,0.001,15,1.5,0.0015,0.016316545454548304,30
1.5,0.006,19,1,0.001,15,1.5,0.001,0.016316545454548304,30
1.5,0.006,19,1,0.001,15,1.5,0.0005,0.016316545454548304,30
1.5,0.005,19,1,0.001,15,1.5,0.0015,0.016316545454548304,30
1.5,0.004,19,1,0.001,15,1.5,0.001,0.016316545454548304,30
1.5,0.004,19,1,0.001,15,1.5,0.0015,0.016316545454548304,30
1.5,0.004,19,1,0.001,15,1.5,0.0005,0.016316545454548304,30
1.5,0.006,20,1,0.001,15,1.4,0.0015,0.015956545454548842,30
1.5,0.006,20,1,0.001,15,1.4,0.001,0.015956545454548842,30
1.5,0.006,20,1,0.001,15,1.4,0.0005,0.015956545454548842,30
1.5,0.005,20,1,0.001,15,1.4,0.0,0.015956545454548842,30
1.5,0.006,20,1,0.001,15,1.4,0.0,0.015956545454548842,30
1.5,0.005,20,1,0.001,15,1.4,0.0015,0.015956545454548842,30
1.5,0.005,20,1,0.001,15,1.4,0.001,0.015956545454548842,30
1.5,0.005,20,1,0.001,15,1.4,0.0005,0.015956545454548842,30
1.5,0.004,20,1,0.001,15,1.4,0.001,0.015956545454548842,30
1.5,0.004,20,1,0.001,15,1.4,0.0,0.015956545454548842,30
1.5,0.004,20,1,0.001,15,1.4,0.0015,0.015956545454548842,30
1.5,0.004,20,1,0.001,15,1.4,0.0005,0.015956545454548842,30
1.5,0.005,20,1,0.002,15,1.5,0.0005,0.015041272727270908,30
1.5,0.005,20,1,0.002,15,1.5,0.001,0.015041272727270908,30
1.5,0.005,20,1,0.002,15,1.5,0.0015,0.015041272727270908,30
1.5,0.006,20,1,0.002,15,1.5,0.0005,0.015041272727270908,30
1.5,0.005,20,1,0.002,15,1.5,0.0,0.015041272727270908,30
1.5,0.006,20,1,0.002,15,1.5,0.001,0.015041272727270908,30
1.5,0.004,20,1,0.002,15,1.5,0.0,0.015041272727270908,30
1.5,0.004,20,1,0.002,15,1.5,0.0005,0.015041272727270908,30
1.5,0.006,20,1,0.002,15,1.5,0.0015,0.015041272727270908,30
