averageMultiplayer,bottomBarrierPips,endingHour,openingInterval,slPips,startingHour,tpMultiplier,moveSlPips,resultPips,date
1.5,0.005,12,1,0.002,7,1.6,0.0015,0.01483636363636558,34
1.5,0.006,12,1,0.002,7,1.6,0.0015,0.01483636363636558,34
1.5,0.005,12,1,0.002,7,1.6,0.001,0.01483636363636558,34
1.5,0.006,12,1,0.002,7,1.6,0.001,0.01483636363636558,34
1.5,0.005,12,1,0.002,7,1.6,0.0005,0.01483636363636558,34
1.5,0.006,12,1,0.002,7,1.6,0.0005,0.01483636363636558,34
1.5,0.005,12,1,0.002,7,1.6,0.0,0.01483636363636558,34
1.5,0.006,12,1,0.002,7,1.6,0.0,0.01483636363636558,34
1.5,0.004,14,1,0.0015,7,1.6,0.0015,0.014629999999997234,33
1.5,0.004,14,1,0.0015,7,1.6,0.001,0.014629999999997234,33
1.5,0.004,14,1,0.0015,7,1.6,0.0005,0.014629999999997234,33
1.5,0.004,14,1,0.0015,7,1.6,0.0,0.014629999999997234,33
1.5,0.004,15,1,0.0015,7,1.6,0.0015,0.01457999999999735,33
1.5,0.004,15,1,0.0015,7,1.6,0.001,0.01457999999999735,33
1.5,0.004,15,1,0.0015,7,1.6,0.0005,0.01457999999999735,33
1.5,0.004,15,1,0.0015,7,1.6,0.0,0.01457999999999735,33
1.5,0.004,16,1,0.0015,7,1.6,0.0015,0.01445999999999723,33
1.5,0.004,16,1,0.0015,7,1.6,0.001,0.01445999999999723,33
1.5,0.004,16,1,0.0015,7,1.6,0.0005,0.01445999999999723,33
1.5,0.004,16,1,0.0015,7,1.6,0.0,0.01445999999999723,33
1.5,0.004,13,1,0.0015,7,1.6,0.0015,0.014449999999997364,33
1.5,0.004,13,1,0.0015,7,1.6,0.001,0.014449999999997364,33
1.5,0.004,13,1,0.0015,7,1.6,0.0005,0.014449999999997364,33
1.5,0.004,13,1,0.0015,7,1.6,0.0,0.014449999999997364,33
1.5,0.005,13,1,0.001,7,1.6,0.0015,0.014020000000004562,34
1.5,0.006,13,1,0.001,7,1.6,0.0015,0.014020000000004562,34
1.5,0.005,13,1,0.001,7,1.6,0.001,0.014020000000004562,34
1.5,0.006,13,1,0.001,7,1.6,0.001,0.014020000000004562,34
1.5,0.005,13,1,0.001,7,1.6,0.0005,0.014020000000004562,34
1.5,0.006,13,1,0.001,7,1.6,0.0005,0.014020000000004562,34
1.5,0.005,13,1,0.001,7,1.6,0.0,0.014020000000004562,34
1.5,0.006,13,1,0.001,7,1.6,0.0,0.014020000000004562,34
1.5,0.004,12,1,0.002,7,1.6,0.0015,0.01363636363636549,33
1.5,0.004,12,1,0.002,7,1.6,0.001,0.01363636363636549,33
1.5,0.004,12,1,0.002,7,1.6,0.0005,0.01363636363636549,33
1.5,0.004,12,1,0.002,7,1.6,0.0,0.01363636363636549,33
1.5,0.004,13,1,0.001,7,1.6,0.0015,0.013420000000004406,33
1.5,0.004,13,1,0.001,7,1.6,0.001,0.013420000000004406,33
1.5,0.004,13,1,0.001,7,1.6,0.0005,0.013420000000004406,33
1.5,0.004,13,1,0.001,7,1.6,0.0,0.013420000000004406,33
1.5,0.005,12,1,0.001,7,1.6,0.0015,0.012890000000004708,34
1.5,0.006,12,1,0.001,7,1.6,0.0015,0.012890000000004708,34
1.5,0.005,12,1,0.001,7,1.6,0.001,0.012890000000004708,34
1.5,0.006,12,1,0.001,7,1.6,0.001,0.012890000000004708,34
1.5,0.005,12,1,0.001,7,1.6,0.0005,0.012890000000004708,34
1.5,0.006,12,1,0.001,7,1.6,0.0005,0.012890000000004708,34
1.5,0.005,12,1,0.001,7,1.6,0.0,0.012890000000004708,34
