,time,price,roundedPrice,level_0_l,level_0_s,level_1_up_l,level_1_up_s,level_1_down_l,level_1_down_s,level_2_up_l,level_2_up_s,level_2_down_l,level_2_down_s,level_3_up_l,level_3_up_s,level_3_down_l,level_3_down_s,level_4_up_l,level_4_up_s,level_4_down_l,level_4_down_s,level_5_up_l,level_5_up_s,level_5_down_l,level_5_down_s
0,2019-03-01T00:20:00Z,1.32604,1.326,0.8826,1.0443,0.5794,0.5121,0.5794,0.5121,0.4177,0.4245,0.4177,0.4245,0.2965,0.3301,0.2965,0.3301,0,0,0,0,0,0,0,0
1,2019-03-01T00:40:00Z,1.32583,1.326,0.9158,1.0370,0.5791,0.5118,0.5791,0.5118,0.4175,0.4175,0.4175,0.4175,0.2963,0.3299,0.2963,0.3299,0,0,0,0,0,0,0,0
2,2019-03-01T01:00:00Z,1.32539,1.3255,0.6727,0.9485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2019-03-01T01:20:00Z,1.32612,1.326,0.8882,0.9488,0.5181,0.4979,0.5181,0.4979,0.4105,0.3970,0.4105,0.3970,0.2961,0.3163,0.2961,0.3163,0,0,0,0,0,0,0,0
4,2019-03-01T01:40:00Z,1.32611,1.326,0.9018,0.9691,0.5182,0.4913,0.5182,0.4913,0.4105,0.3971,0.4105,0.3971,0.2961,0.3163,0.2961,0.3163,0,0,0,0,0,0,0,0
5,2019-03-01T02:00:00Z,1.32641,1.3265,0.5720,0.4980,0.4105,0.3971,0.4105,0.3971,0.2961,0.3096,0.2961,0.3096,0,0,0,0,0,0,0,0,0,0,0,0
6,2019-03-01T02:20:00Z,1.32583,1.326,0.9619,1.0493,0.5785,0.4910,0.5785,0.4910,0.4103,0.3969,0.4103,0.3969,0.2960,0.3094,0.2960,0.3094,0,0,0,0,0,0,0,0
7,2019-03-01T02:40:00Z,1.32582,1.326,0.9418,1.0293,0.5718,0.4911,0.5718,0.4911,0.4104,0.3969,0.4104,0.3969,0.2960,0.3095,0.2960,0.3095,0,0,0,0,0,0,0,0
8,2019-03-01T03:00:00Z,1.32612,1.326,0.9884,1.0355,0.5648,0.4909,0.5648,0.4909,0.4102,0.3967,0.4102,0.3967,0.2959,0.3093,0.2959,0.3093,0,0,0,0,0,0,0,0
9,2019-03-01T03:20:00Z,1.32624,1.326,0.9954,1.0627,0.5650,0.4910,0.5650,0.4910,0.4103,0.3968,0.4103,0.3968,0.2959,0.3094,0.2959,0.3094,0,0,0,0,0,0,0,0
10,2019-03-01T03:40:00Z,1.32630,1.3265,0.5649,0.4775,0.4102,0.3968,0.4102,0.3968,0.2959,0.3093,0.2959,0.3093,0,0,0,0,0,0,0,0,0,0,0,0
11,2019-03-01T04:00:00Z,1.32573,1.3255,0.7124,1.0081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2019-03-01T04:20:00Z,1.32601,1.326,1.0482,1.1355,0.5644,0.4636,0.5644,0.4636,0.4166,0.3964,0.4166,0.3964,0.2956,0.3091,0.2956,0.3091,0,0,0,0,0,0,0,0
13,2019-03-01T04:40:00Z,1.32611,1.326,1.0943,1.1346,0.5639,0.4632,0.5639,0.4632,0.4162,0.3961,0.4162,0.3961,0.2954,0.3088,0.2954,0.3088,0,0,0,0,0,0,0,0
14,2019-03-01T05:00:00Z,1.32630,1.3265,0.5641,0.4567,0.4164,0.3962,0.4164,0.3962,0.2955,0.3089,0.2955,0.3089,0,0,0,0,0,0,0,0,0,0,0,0
15,2019-03-01T05:20:00Z,1.32621,1.326,1.1617,1.1751,0.5641,0.4566,0.5641,0.4566,0.4163,0.3962,0.4163,0.3962,0.2955,0.3156,0.2955,0.3156,0,0,0,0,0,0,0,0
16,2019-03-01T05:40:00Z,1.32561,1.3255,0.6978,1.1407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2019-03-01T06:00:00Z,1.32559,1.3255,0.7377,1.2340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2019-03-01T06:20:00Z,1.32563,1.3255,0.7777,1.2135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2019-03-01T06:40:00Z,1.32551,1.3255,0.7846,1.2271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2019-03-01T07:00:00Z,1.32463,1.3245,0.3301,0.4985,0.3705,0.6601,0.3705,0.6601,0.6938,1.1316,0.6938,1.1316,0,0,0,0,0,0,0,0,0,0,0,0
21,2019-03-01T07:20:00Z,1.32532,1.3255,0.7669,1.1099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2019-03-01T07:40:00Z,1.32563,1.3255,0.8787,1.0934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2019-03-01T08:00:00Z,1.32584,1.326,0.9189,0.9457,0.5165,0.4427,0.5165,0.4427,0.4159,0.3622,0.4159,0.3622,0.3220,0.3085,0.3220,0.3085,0,0,0,0,0,0,0,0
24,2019-03-01T08:20:00Z,1.32480,1.325,0.6102,0.6839,0.8985,1.0728,0.8985,1.0728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2019-03-01T08:40:00Z,1.32355,1.3235,0.3895,0.2821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2019-03-01T09:00:00Z,1.32499,1.325,0.6449,0.6584,0.8734,0.9674,0.8734,0.9674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2019-03-01T09:20:00Z,1.32456,1.3245,0.4706,0.6723,0.6521,0.6521,0.6521,0.6521,0.8739,0.9546,0.8739,0.9546,0,0,0,0,0,0,0,0,0,0,0,0
28,2019-03-01T09:40:00Z,1.32483,1.325,0.6121,0.6322,0.8676,0.9416,0.8676,0.9416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2019-03-01T10:00:00Z,1.32435,1.3245,0.4768,0.6648,0.6111,0.6379,0.6111,0.6379,0.8662,0.9267,0.8662,0.9267,0,0,0,0,0,0,0,0,0,0,0,0
30,2019-03-01T10:20:00Z,1.32384,1.324,0.3692,0.4095,0.4699,0.6445,0.4699,0.6445,0.6042,0.6243,0.6042,0.6243,0.8660,0.9130,0.8660,0.9130,0,0,0,0,0,0,0,0
31,2019-03-01T10:40:00Z,1.32397,1.324,0.3960,0.4362,0.4765,0.6174,0.4765,0.6174,0.6040,0.6242,0.6040,0.6242,0.8591,0.8859,0.8591,0.8859,0,0,0,0,0,0,0,0
32,2019-03-01T11:00:00Z,1.32429,1.3245,0.4831,0.6039,0.6039,0.6039,0.6039,0.6039,0.8589,0.8790,0.8589,0.8790,0,0,0,0,0,0,0,0,0,0,0,0
33,2019-03-01T11:20:00Z,1.32467,1.3245,0.5301,0.6308,0.6039,0.5905,0.6039,0.5905,0.8589,0.8657,0.8589,0.8657,0,0,0,0,0,0,0,0,0,0,0,0
34,2019-03-01T11:40:00Z,1.32388,1.324,0.4497,0.5437,0.5168,0.6309,0.5168,0.6309,0.6108,0.5906,0.6108,0.5906,0.8524,0.8658,0.8524,0.8658,0,0,0,0,0,0,0,0
35,2019-03-01T12:00:00Z,1.32239,1.3225,0.2899,0.2225,0.3034,0.4046,0.3034,0.4046,0.4180,0.4450,0.4180,0.4450,0,0,0,0,0,0,0,0,0,0,0,0
36,2019-03-01T12:20:00Z,1.32403,1.324,0.4387,0.5535,0.4657,0.5332,0.4657,0.5332,0.5940,0.5265,0.5940,0.5265,0.8032,0.7829,0.8032,0.7829,0,0,0,0,0,0,0,0
37,2019-03-01T12:40:00Z,1.32436,1.3245,0.4858,0.5398,0.5938,0.5330,0.5938,0.5330,0.7962,0.7759,0.7962,0.7759,0,0,0,0,0,0,0,0,0,0,0,0
38,2019-03-01T13:00:00Z,1.32366,1.3235,0.4654,0.5733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2019-03-01T13:20:00Z,1.32412,1.324,0.5601,0.5601,0.5398,0.5601,0.5398,0.5601,0.6005,0.5263,0.6005,0.5263,0.7287,0.6883,0.7287,0.6883,0,0,0,0,0,0,0,0
40,2019-03-01T13:40:00Z,1.32244,1.3225,0.2765,0.2428,0.3439,0.4316,0.3439,0.4316,0.5395,0.6407,0.5395,0.6407,0,0,0,0,0,0,0,0,0,0,0,0
41,2019-03-01T14:00:00Z,1.32282,1.323,0.3910,0.4247,0.5191,0.5933,0.5191,0.5933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2019-03-01T14:20:00Z,1.32317,1.323,0.3973,0.5185,0.5656,0.5858,0.5656,0.5858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2019-03-01T14:40:00Z,1.32690,1.327,0.4549,0.2648,0.2852,0.2716,0.2852,0.2716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,2019-03-01T15:00:00Z,1.32730,1.3275,0.4752,0.3055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2019-03-01T15:20:00Z,1.32692,1.327,0.6192,0.3470,0.6260,0.3334,0.6260,0.3334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,2019-03-01T15:40:00Z,1.32604,1.326,0.7690,0.7145,0.5920,0.3879,0.5920,0.3879,0.6056,0.3130,0.6056,0.3130,0.5444,0.3130,0.5444,0.3130,0,0,0,0,0,0,0,0
47,2019-03-01T16:00:00Z,1.32427,1.3245,0.4566,0.4974,0.4906,0.4497,0.4906,0.4497,0.6814,0.6133,0.6814,0.6133,0,0,0,0,0,0,0,0,0,0,0,0
48,2019-03-01T16:20:00Z,1.32225,1.322,0.1707,0.2254,0.5600,0.3073,0.5600,0.3073,0.3278,0.4371,0.3278,0.4371,0.5327,0.4030,0.5327,0.4030,0,0,0,0,0,0,0,0
49,2019-03-01T16:40:00Z,1.32258,1.3225,0.5872,0.2867,0.3618,0.4165,0.3618,0.4165,0.5257,0.3960,0.5257,0.3960,0,0,0,0,0,0,0,0,0,0,0,0
50,2019-03-01T17:00:00Z,1.32215,1.322,0.2797,0.5798,0.5934,0.3069,0.5934,0.3069,0.3615,0.4092,0.3615,0.4092,0.5047,0.3888,0.5047,0.3888,0,0,0,0,0,0,0,0
51,2019-03-01T17:20:00Z,1.32234,1.3225,0.5959,0.3151,0.3493,0.3973,0.3493,0.3973,0.4726,0.3973,0.4726,0.3973,0,0,0,0,0,0,0,0,0,0,0,0
52,2019-03-01T17:40:00Z,1.32124,1.321,0.2330,0.2673,0.2262,0.3495,0.2262,0.3495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,2019-03-01T18:00:00Z,1.32051,1.3205,0.4179,0.3699,0.2946,0.2946,0.2946,0.2946,0.2192,0.3288,0.2192,0.3288,0,0,0,0,0,0,0,0,0,0,0,0
54,2019-03-01T18:20:00Z,1.32083,1.321,0.3161,0.2749,0.2130,0.2817,0.2130,0.2817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,2019-03-01T18:40:00Z,1.32014,1.32,0.3790,0.4410,0.4065,0.3996,0.4065,0.3996,0.3032,0.2687,0.3032,0.2687,0.2274,0.2481,0.2274,0.2481,0,0,0,0,0,0,0,0
56,2019-03-01T19:00:00Z,1.31986,1.32,0.3857,0.4201,0.3926,0.3788,0.3926,0.3788,0.2824,0.2686,0.2824,0.2686,0.2273,0.2479,0.2273,0.2479,0,0,0,0,0,0,0,0
57,2019-03-01T19:20:00Z,1.31943,1.3195,0.3444,0.4477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,2019-03-01T19:40:00Z,1.31951,1.3195,0.3788,0.4890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,2019-03-01T20:00:00Z,1.31895,1.319,0.4483,0.3104,0.3724,0.4621,0.3724,0.4621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,2019-03-01T20:20:00Z,1.31734,1.3175,0.3117,0.2148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,2019-03-01T20:40:00Z,1.31781,1.318,0.2704,0.1941,0.2357,0.2773,0.2357,0.2773,0.4368,0.2773,0.4368,0.2773,0.3605,0.3952,0.3605,0.3952,0,0,0,0,0,0,0,0
62,2019-03-01T21:00:00Z,1.32024,1.32,0.3549,0.3479,0.4453,0.3201,0.4453,0.3201,0.2783,0.2296,0.2783,0.2296,0.2227,0.2018,0.2227,0.2018,0,0,0,0,0,0,0,0
63,2019-03-01T21:20:00Z,1.32116,1.321,0.6101,0.3951,0.2218,0.1941,0.2218,0.1941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
