,time,price,roundedPrice,level_0_l,level_0_s,level_1_up_l,level_1_up_s,level_1_down_l,level_1_down_s,level_2_up_l,level_2_up_s,level_2_down_l,level_2_down_s,level_3_up_l,level_3_up_s,level_3_down_l,level_3_down_s,level_4_up_l,level_4_up_s,level_4_down_l,level_4_down_s,level_5_up_l,level_5_up_s,level_5_down_l,level_5_down_s
0,2019-04-01T00:00:00Z,1.12233,1.1225,0.9566,0.6412,0.8550,0.4197,0.8550,0.4197,0.5005,0.2111,0.5005,0.2111,0,0,0,0,0,0,0,0,0,0,0,0
1,2019-04-01T00:20:00Z,1.12236,1.1225,0.9614,0.6383,0.8494,0.4143,0.8494,0.4143,0.5002,0.2110,0.5002,0.2110,0,0,0,0,0,0,0,0,0,0,0,0
2,2019-04-01T00:40:00Z,1.12221,1.122,0.7581,0.8389,0.9613,0.6331,0.9613,0.6331,0.8441,0.4116,0.8441,0.4116,0.5002,0.2110,0.5002,0.2110,0,0,0,0,0,0,0,0
3,2019-04-01T01:00:00Z,1.12282,1.123,0.8486,0.4087,0.4972,0.2135,0.4972,0.2135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2019-04-01T01:20:00Z,1.12266,1.1225,1.1083,0.7779,0.8455,0.4085,0.8455,0.4085,0.4969,0.2107,0.4969,0.2107,0,0,0,0,0,0,0,0,0,0,0,0
5,2019-04-01T01:40:00Z,1.12271,1.1225,1.1469,0.8062,0.8400,0.4109,0.8400,0.4109,0.4993,0.2081,0.4993,0.2081,0,0,0,0,0,0,0,0,0,0,0,0
6,2019-04-01T02:00:00Z,1.12261,1.1225,1.1650,0.8295,0.8321,0.4109,0.8321,0.4109,0.4993,0.2080,0.4993,0.2080,0,0,0,0,0,0,0,0,0,0,0,0
7,2019-04-01T02:20:00Z,1.12272,1.1225,1.2295,0.8422,0.8292,0.4055,0.8292,0.4055,0.4991,0.2079,0.4991,0.2079,0,0,0,0,0,0,0,0,0,0,0,0
8,2019-04-01T02:40:00Z,1.12298,1.123,0.8424,0.4134,0.4992,0.2080,0.4992,0.2080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2019-04-01T03:00:00Z,1.12318,1.123,0.9533,0.4909,0.5065,0.2078,0.5065,0.2078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2019-04-01T03:20:00Z,1.12321,1.123,0.9999,0.5194,0.5039,0.2078,0.5039,0.2078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2019-04-01T03:40:00Z,1.12320,1.123,1.0439,0.5453,0.5012,0.2077,0.5012,0.2077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2019-04-01T04:00:00Z,1.12321,1.123,1.0925,0.5709,0.4931,0.2076,0.4931,0.2076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2019-04-01T04:20:00Z,1.12330,1.1235,0.4928,0.2075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2019-04-01T04:40:00Z,1.12338,1.1235,0.4900,0.2074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2019-04-01T05:00:00Z,1.12342,1.1235,0.5367,0.2048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2019-04-01T05:20:00Z,1.12396,1.124,0.4700,0.2285,0.3479,0.2103,0.3479,0.2103,0.4622,0.2519,0.4622,0.2519,0.5401,0.2181,0.5401,0.2181,0.2648,0.1895,0.2648,0.1895,0,0,0,0
17,2019-04-01T05:40:00Z,1.12382,1.124,0.4904,0.2439,0.3477,0.2076,0.3477,0.2076,0.4619,0.2465,0.4619,0.2465,0.5397,0.2180,0.5397,0.2180,0.2673,0.1894,0.2673,0.1894,0,0,0,0
18,2019-04-01T06:00:00Z,1.12389,1.124,0.5054,0.2436,0.3447,0.2099,0.3447,0.2099,0.4613,0.2462,0.4613,0.2462,0.5339,0.2151,0.5339,0.2151,0.2669,0.1866,0.2669,0.1866,0,0,0,0
19,2019-04-01T06:20:00Z,1.12357,1.1235,0.7413,0.4510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2019-04-01T06:40:00Z,1.12370,1.1235,0.7726,0.4589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2019-04-01T07:00:00Z,1.12340,1.1235,0.7591,0.4663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2019-04-01T07:20:00Z,1.12285,1.123,1.1200,0.6948,0.7104,0.4226,0.7104,0.4226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2019-04-01T07:40:00Z,1.12394,1.124,0.5001,0.2203,0.3472,0.2047,0.3472,0.2047,0.4561,0.2462,0.4561,0.2462,0.5312,0.2151,0.5312,0.2151,0.2695,0.1892,0.2695,0.1892,0,0,0,0
24,2019-04-01T08:00:00Z,1.12391,1.124,0.5804,0.2539,0.3446,0.2073,0.3446,0.2073,0.4561,0.2384,0.4561,0.2384,0.5312,0.2228,0.5312,0.2228,0.2695,0.1866,0.2695,0.1866,0,0,0,0
25,2019-04-01T08:20:00Z,1.12445,1.1245,0.4224,0.2125,0.4587,0.2436,0.4587,0.2436,0.5287,0.2177,0.5287,0.2177,0.2695,0.1814,0.2695,0.1814,0,0,0,0,0,0,0,0
26,2019-04-01T08:40:00Z,1.12464,1.1245,0.5447,0.2750,0.4799,0.2412,0.4799,0.2412,0.5344,0.2153,0.5344,0.2153,0.2646,0.1842,0.2646,0.1842,0,0,0,0,0,0,0,0
27,2019-04-01T09:00:00Z,1.12464,1.1245,0.5599,0.2800,0.4770,0.2385,0.4770,0.2385,0.5314,0.2126,0.5314,0.2126,0.2670,0.1840,0.2670,0.1840,0,0,0,0,0,0,0,0
28,2019-04-01T09:20:00Z,1.12439,1.1245,0.5573,0.2825,0.4770,0.2359,0.4770,0.2359,0.5314,0.2126,0.5314,0.2126,0.2644,0.1840,0.2644,0.1840,0,0,0,0,0,0,0,0
29,2019-04-01T09:40:00Z,1.12414,1.124,0.7075,0.4561,0.5624,0.2747,0.5624,0.2747,0.4742,0.2358,0.4742,0.2358,0.5287,0.2125,0.5287,0.2125,0.2643,0.1840,0.2643,0.1840,0,0,0,0
30,2019-04-01T10:00:00Z,1.12376,1.124,0.7017,0.4247,0.5386,0.2719,0.5386,0.2719,0.4713,0.2330,0.4713,0.2330,0.5308,0.2123,0.5308,0.2123,0.2641,0.1838,0.2641,0.1838,0,0,0,0
31,2019-04-01T10:20:00Z,1.12367,1.1235,0.8831,0.5205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2019-04-01T10:40:00Z,1.12372,1.1235,0.8955,0.5487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,2019-04-01T11:00:00Z,1.12315,1.123,1.0203,0.7199,0.8649,0.4894,0.8649,0.4894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,2019-04-01T11:20:00Z,1.12381,1.124,0.6268,0.3212,0.4999,0.2538,0.4999,0.2538,0.4740,0.2253,0.4740,0.2253,0.5258,0.2124,0.5258,0.2124,0.2590,0.1813,0.2590,0.1813,0,0,0,0
35,2019-04-01T11:40:00Z,1.12320,1.123,1.0853,0.7356,0.8729,0.4688,0.8729,0.4688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,2019-04-01T12:00:00Z,1.12292,1.123,1.1025,0.7272,0.8463,0.4632,0.8463,0.4632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,2019-04-01T12:20:00Z,1.12349,1.1235,0.9137,0.4737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,2019-04-01T12:40:00Z,1.12393,1.124,0.6964,0.3288,0.5230,0.2434,0.5230,0.2434,0.4712,0.2227,0.4712,0.2227,0.5204,0.2097,0.5204,0.2097,0.2667,0.1786,0.2667,0.1786,0,0,0,0
39,2019-04-01T13:00:00Z,1.12349,1.1235,1.0161,0.5042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2019-04-01T13:20:00Z,1.12358,1.1235,1.0424,0.5302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,2019-04-01T13:40:00Z,1.12378,1.124,0.7233,0.3125,0.5063,0.2376,0.5063,0.2376,0.4753,0.2273,0.4753,0.2273,0.5192,0.1989,0.5192,0.1989,0.2635,0.1782,0.2635,0.1782,0,0,0,0
42,2019-04-01T14:00:00Z,1.12360,1.1235,1.0189,0.5457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2019-04-01T14:20:00Z,1.12157,1.1215,0.4785,0.3828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,2019-04-01T14:40:00Z,1.12223,1.122,0.7061,0.6052,0.9233,0.6621,0.9233,0.6621,0.9957,0.5509,0.9957,0.5509,0.8406,0.4681,0.8406,0.4681,0,0,0,0,0,0,0,0
45,2019-04-01T15:00:00Z,1.12204,1.122,0.7808,0.6774,0.9152,0.6541,0.9152,0.6541,0.9928,0.5300,0.9928,0.5300,0.8273,0.4628,0.8273,0.4628,0,0,0,0,0,0,0,0
46,2019-04-01T15:20:00Z,1.12188,1.122,0.8007,0.6767,0.8885,0.6483,0.8885,0.6483,0.9583,0.5269,0.9583,0.5269,0.8059,0.4417,0.8059,0.4417,0,0,0,0,0,0,0,0
47,2019-04-01T15:40:00Z,1.12156,1.1215,0.6071,0.6045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,2019-04-01T16:00:00Z,1.12095,1.121,0.4011,0.3804,0.6004,0.5176,0.6004,0.5176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,2019-04-01T16:20:00Z,1.12072,1.1205,0.3215,0.3682,0.4097,0.3501,0.4097,0.3501,0.5783,0.4693,0.5783,0.4693,0,0,0,0,0,0,0,0,0,0,0,0
50,2019-04-01T16:40:00Z,1.12067,1.1205,0.4350,0.4221,0.4143,0.3496,0.4143,0.3496,0.5593,0.4583,0.5593,0.4583,0,0,0,0,0,0,0,0,0,0,0,0
51,2019-04-01T17:00:00Z,1.12064,1.1205,0.5021,0.4659,0.4037,0.3416,0.4037,0.3416,0.5513,0.4607,0.5513,0.4607,0,0,0,0,0,0,0,0,0,0,0,0
52,2019-04-01T17:20:00Z,1.12041,1.1205,0.5824,0.4866,0.3960,0.3313,0.3960,0.3313,0.5513,0.4400,0.5513,0.4400,0,0,0,0,0,0,0,0,0,0,0,0
53,2019-04-01T17:40:00Z,1.12064,1.1205,0.6158,0.5226,0.4010,0.3286,0.4010,0.3286,0.5511,0.4269,0.5511,0.4269,0,0,0,0,0,0,0,0,0,0,0,0
54,2019-04-01T18:00:00Z,1.12082,1.121,0.4112,0.3181,0.5560,0.4137,0.5560,0.4137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,2019-04-01T18:20:00Z,1.12086,1.121,0.4396,0.3129,0.5456,0.4034,0.5456,0.4034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,2019-04-01T18:40:00Z,1.12080,1.121,0.4343,0.3102,0.5507,0.3956,0.5507,0.3956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,2019-04-01T19:00:00Z,1.12126,1.1215,0.5535,0.3828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,2019-04-01T19:20:00Z,1.12094,1.121,0.5740,0.3646,0.5482,0.3801,0.5482,0.3801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,2019-04-01T19:40:00Z,1.12105,1.121,0.5813,0.3591,0.5529,0.3824,0.5529,0.3824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,2019-04-01T20:00:00Z,1.12104,1.121,0.6338,0.3932,0.5484,0.3777,0.5484,0.3777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,2019-04-01T20:20:00Z,1.12104,1.121,0.6412,0.3878,0.5481,0.3723,0.5481,0.3723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,2019-04-01T20:40:00Z,1.12098,1.121,0.6749,0.3853,0.5508,0.3723,0.5508,0.3723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,2019-04-01T21:00:00Z,1.12127,1.1215,0.5668,0.3546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,2019-04-01T21:20:00Z,1.12040,1.1205,0.6781,0.7091,0.6263,0.3934,0.6263,0.3934,0.5616,0.3649,0.5616,0.3649,0,0,0,0,0,0,0,0,0,0,0,0
65,2019-04-01T21:40:00Z,1.12025,1.12,0.5214,0.3813,0.6382,0.6408,0.6382,0.6408,0.5707,0.3606,0.5707,0.3606,0.5370,0.3450,0.5370,0.3450,0,0,0,0,0,0,0,0
66,2019-04-01T22:00:00Z,1.12028,1.1205,0.6458,0.6225,0.5602,0.3527,0.5602,0.3527,0.5395,0.3449,0.5395,0.3449,0,0,0,0,0,0,0,0,0,0,0,0
67,2019-04-01T22:20:00Z,1.12039,1.1205,0.6425,0.6140,0.5544,0.3549,0.5544,0.3549,0.5389,0.3446,0.5389,0.3446,0,0,0,0,0,0,0,0,0,0,0,0
68,2019-04-01T22:40:00Z,1.12059,1.1205,0.6708,0.6164,0.5491,0.3497,0.5491,0.3497,0.5387,0.3445,0.5387,0.3445,0,0,0,0,0,0,0,0,0,0,0,0
69,2019-04-01T23:00:00Z,1.12064,1.1205,0.7073,0.6295,0.5492,0.3446,0.5492,0.3446,0.5389,0.3446,0.5389,0.3446,0,0,0,0,0,0,0,0,0,0,0,0
70,2019-04-01T23:20:00Z,1.12060,1.1205,0.7713,0.6910,0.5461,0.3442,0.5461,0.3442,0.5357,0.3442,0.5357,0.3442,0,0,0,0,0,0,0,0,0,0,0,0
71,2019-04-01T23:40:00Z,1.12060,1.1205,0.7995,0.7270,0.5459,0.3441,0.5459,0.3441,0.5330,0.3363,0.5330,0.3363,0,0,0,0,0,0,0,0,0,0,0,0
