,time,price,roundedPrice,level_0_l,level_0_s,level_1_up_l,level_1_up_s,level_1_down_l,level_1_down_s,level_2_up_l,level_2_up_s,level_2_down_l,level_2_down_s,level_3_up_l,level_3_up_s,level_3_down_l,level_3_down_s,level_4_up_l,level_4_up_s,level_4_down_l,level_4_down_s,level_5_up_l,level_5_up_s,level_5_down_l,level_5_down_s
0,2019-02-01T00:00:00Z,1.14485,1.145,0.4378,0.3464,0.4378,0.2632,0.4378,0.2632,0.3325,0.1884,0.3325,0.1884,0,0,0,0,0,0,0,0,0,0,0,0
1,2019-02-01T00:20:00Z,1.14496,1.145,0.4515,0.3518,0.4376,0.2493,0.4376,0.2493,0.3296,0.1939,0.3296,0.1939,0,0,0,0,0,0,0,0,0,0,0,0
2,2019-02-01T00:40:00Z,1.14491,1.145,0.4681,0.3490,0.4349,0.2493,0.4349,0.2493,0.3241,0.1967,0.3241,0.1967,0,0,0,0,0,0,0,0,0,0,0,0
3,2019-02-01T01:00:00Z,1.14483,1.145,0.4652,0.3516,0.4347,0.2492,0.4347,0.2492,0.3239,0.1966,0.3239,0.1966,0,0,0,0,0,0,0,0,0,0,0,0
4,2019-02-01T01:20:00Z,1.14456,1.1445,1.1100,0.8803,0.4595,0.3515,0.4595,0.3515,0.4346,0.2491,0.4346,0.2491,0.3211,0.1965,0.3211,0.1965,0,0,0,0,0,0,0,0
5,2019-02-01T01:40:00Z,1.14383,1.144,0.9054,0.7227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2019-02-01T02:00:00Z,1.14426,1.1445,0.9769,0.7583,0.4400,0.3487,0.4400,0.3487,0.4262,0.2463,0.4262,0.2463,0.3238,0.1937,0.3238,0.1937,0,0,0,0,0,0,0,0
7,2019-02-01T02:20:00Z,1.14398,1.144,0.9794,0.7830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2019-02-01T02:40:00Z,1.14409,1.144,1.0099,0.8052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2019-02-01T03:00:00Z,1.14428,1.1445,0.9489,0.7110,0.4399,0.3431,0.4399,0.3431,0.4260,0.2462,0.4260,0.2462,0.3209,0.1964,0.3209,0.1964,0,0,0,0,0,0,0,0
10,2019-02-01T03:20:00Z,1.14452,1.1445,0.9736,0.7053,0.4370,0.3402,0.4370,0.3402,0.4287,0.2406,0.4287,0.2406,0.3236,0.1964,0.3236,0.1964,0,0,0,0,0,0,0,0
11,2019-02-01T03:40:00Z,1.14465,1.1445,1.0347,0.7248,0.4371,0.3375,0.4371,0.3375,0.4288,0.2407,0.4288,0.2407,0.3237,0.1937,0.3237,0.1937,0,0,0,0,0,0,0,0
12,2019-02-01T04:00:00Z,1.14421,1.144,1.0428,0.8879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2019-02-01T04:20:00Z,1.14416,1.144,1.1032,0.9125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2019-02-01T04:40:00Z,1.14402,1.144,1.1032,0.9207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2019-02-01T05:00:00Z,1.14421,1.144,1.1445,0.9068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2019-02-01T05:20:00Z,1.14412,1.144,1.1663,0.9037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2019-02-01T05:40:00Z,1.14376,1.144,1.1420,0.8765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
