,time,price,roundedPrice,level_0_l,level_0_s,level_1_up_l,level_1_up_s,level_1_down_l,level_1_down_s,level_2_up_l,level_2_up_s,level_2_down_l,level_2_down_s,level_3_up_l,level_3_up_s,level_3_down_l,level_3_down_s,level_4_up_l,level_4_up_s,level_4_down_l,level_4_down_s,level_5_up_l,level_5_up_s,level_5_down_l,level_5_down_s
0,2019-02-01T00:00:00Z,1.31087,1.311,1.0678,0.8336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2019-02-01T00:20:00Z,1.31117,1.311,1.1574,0.8405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2019-02-01T00:40:00Z,1.31127,1.3115,0.7448,0.6000,0.5793,0.4965,0.5793,0.4965,0.7034,0.4413,0.7034,0.4413,0.5379,0.4138,0.5379,0.4138,0.4896,0.3586,0.4896,0.3586,0,0,0,0
3,2019-02-01T01:00:00Z,1.31096,1.311,1.2681,0.8270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2019-02-01T01:20:00Z,1.31068,1.3105,0.7579,1.2126,1.2677,0.8268,1.2677,0.8268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2019-02-01T01:40:00Z,1.30957,1.3095,0.3376,0.5236,0.4478,0.9231,0.4478,0.9231,0.7853,1.1642,0.7853,1.1642,1.1642,0.7785,1.1642,0.7785,0,0,0,0,0,0,0,0
6,2019-02-01T02:00:00Z,1.31018,1.31,0.5166,0.9711,0.7576,1.0745,0.7576,1.0745,1.1158,0.7507,1.1158,0.7507,0,0,0,0,0,0,0,0,0,0,0,0
7,2019-02-01T02:20:00Z,1.30933,1.3095,0.3944,0.5605,0.4913,0.8857,0.4913,0.8857,0.6781,0.9618,0.6781,0.9618,0.9064,0.6989,0.9064,0.6989,0,0,0,0,0,0,0,0
8,2019-02-01T02:40:00Z,1.30930,1.3095,0.4357,0.5601,0.4979,0.8851,0.4979,0.8851,0.6708,0.9612,0.6708,0.9612,0.8851,0.6984,0.8851,0.6984,0,0,0,0,0,0,0,0
9,2019-02-01T03:00:00Z,1.30980,1.31,0.4910,0.8852,0.6846,0.9198,0.6846,0.9198,0.8852,0.6985,0.8852,0.6985,0,0,0,0,0,0,0,0,0,0,0,0
10,2019-02-01T03:20:00Z,1.30988,1.31,0.5181,0.8842,0.6770,0.9188,0.6770,0.9188,0.8704,0.6977,0.8704,0.6977,0,0,0,0,0,0,0,0,0,0,0,0
11,2019-02-01T03:40:00Z,1.30991,1.31,0.5456,0.8840,0.6768,0.9047,0.6768,0.9047,0.8702,0.6906,0.8702,0.6906,0,0,0,0,0,0,0,0,0,0,0,0
12,2019-02-01T04:00:00Z,1.30938,1.3095,0.6146,0.6906,0.5248,0.8701,0.5248,0.8701,0.6698,0.9046,0.6698,0.9046,0.8701,0.6837,0.8701,0.6837,0,0,0,0,0,0,0,0
13,2019-02-01T04:20:00Z,1.30980,1.31,0.5383,0.8627,0.6626,0.8972,0.6626,0.8972,0.8558,0.6695,0.8558,0.6695,0,0,0,0,0,0,0,0,0,0,0,0
14,2019-02-01T04:40:00Z,1.30959,1.3095,0.6761,0.7934,0.5450,0.8624,0.5450,0.8624,0.6554,0.8969,0.6554,0.8969,0.8555,0.6692,0.8555,0.6692,0,0,0,0,0,0,0,0
15,2019-02-01T05:00:00Z,1.30930,1.3095,0.6415,0.8001,0.5242,0.8622,0.5242,0.8622,0.6553,0.8898,0.6553,0.8898,0.8553,0.6622,0.8553,0.6622,0,0,0,0,0,0,0,0
16,2019-02-01T05:20:00Z,1.30980,1.31,0.5241,0.8552,0.6552,0.8897,0.6552,0.8897,0.8552,0.6621,0.8552,0.6621,0,0,0,0,0,0,0,0,0,0,0,0
17,2019-02-01T05:40:00Z,1.30973,1.3095,0.6893,0.8547,0.5307,0.8547,0.5307,0.8547,0.6479,0.8961,0.6479,0.8961,0.8478,0.6479,0.8478,0.6479,0,0,0,0,0,0,0,0
18,2019-02-01T06:00:00Z,1.30992,1.31,0.5781,0.8534,0.6469,0.8878,0.6469,0.8878,0.8534,0.6469,0.8534,0.6469,0,0,0,0,0,0,0,0,0,0,0,0
19,2019-02-01T06:20:00Z,1.31013,1.31,0.6334,0.8538,0.6541,0.8675,0.6541,0.8675,0.8400,0.6472,0.8400,0.6472,0,0,0,0,0,0,0,0,0,0,0,0
20,2019-02-01T06:40:00Z,1.31041,1.3105,0.7021,0.8467,0.8398,0.6402,0.8398,0.6402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2019-02-01T07:00:00Z,1.31063,1.3105,0.8534,0.8328,0.8328,0.6401,0.8328,0.6401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2019-02-01T07:20:00Z,1.31009,1.31,0.7639,0.9635,0.8809,0.8672,0.8809,0.8672,0.8328,0.6401,0.8328,0.6401,0,0,0,0,0,0,0,0,0,0,0,0
23,2019-02-01T07:40:00Z,1.31079,1.311,0.9359,0.6331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2019-02-01T08:00:00Z,1.31114,1.311,0.9494,0.6398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2019-02-01T08:20:00Z,1.30983,1.31,0.6877,0.9971,1.0040,0.9077,1.0040,0.9077,0.9627,0.6464,0.9627,0.6464,0,0,0,0,0,0,0,0,0,0,0,0
26,2019-02-01T08:40:00Z,1.31032,1.3105,0.9763,0.9007,0.9282,0.6394,0.9282,0.6394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2019-02-01T09:00:00Z,1.31038,1.3105,0.9829,0.8867,0.9142,0.6392,0.9142,0.6392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2019-02-01T09:20:00Z,1.30826,1.3085,0.4271,0.5786,0.3788,0.7921,0.3788,0.7921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2019-02-01T09:40:00Z,1.30824,1.308,0.3796,0.5314,0.3796,0.6142,0.3796,0.6142,0.3520,0.8213,0.3520,0.8213,0,0,0,0,0,0,0,0,0,0,0,0
30,2019-02-01T10:00:00Z,1.30461,1.3045,0.3053,0.2845,0.2221,0.3123,0.2221,0.3123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2019-02-01T10:20:00Z,1.30715,1.307,0.4294,0.4709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2019-02-01T10:40:00Z,1.30618,1.306,0.4425,0.9403,0.3319,0.6568,0.3319,0.6568,0.4079,0.4909,0.4079,0.4909,0,0,0,0,0,0,0,0,0,0,0,0
33,2019-02-01T11:00:00Z,1.30570,1.3055,0.2627,0.5254,0.4010,0.9056,0.4010,0.9056,0.3249,0.6498,0.3249,0.6498,0.4079,0.4908,0.4079,0.4908,0,0,0,0,0,0,0,0
34,2019-02-01T11:20:00Z,1.30652,1.3065,0.3664,0.6429,0.4079,0.4908,0.4079,0.4908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2019-02-01T11:40:00Z,1.30720,1.307,0.4835,0.5112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,2019-02-01T12:00:00Z,1.30626,1.3065,0.4973,0.7114,0.4835,0.5042,0.4835,0.5042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,2019-02-01T12:20:00Z,1.30696,1.307,0.4972,0.4834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,2019-02-01T12:40:00Z,1.30523,1.305,0.2072,0.4144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2019-02-01T13:00:00Z,1.30544,1.3055,0.3658,0.4901,0.5039,0.9456,0.5039,0.9456,0.4417,0.6833,0.4417,0.6833,0.4555,0.4901,0.4555,0.4901,0,0,0,0,0,0,0,0
40,2019-02-01T13:20:00Z,1.30638,1.3065,0.4415,0.6692,0.4415,0.4898,0.4415,0.4898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,2019-02-01T13:40:00Z,1.30575,1.3055,0.3307,0.5374,0.6614,0.9715,0.6614,0.9715,0.4547,0.6683,0.4547,0.6683,0.4547,0.4961,0.4547,0.4961,0,0,0,0,0,0,0,0
42,2019-02-01T16:40:00Z,1.30911,1.309,0.5414,0.7426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2019-02-01T17:00:00Z,1.30930,1.3095,0.5554,0.5623,0.4859,0.5692,0.4859,0.5692,0.5276,0.5762,0.5276,0.5762,0.5554,0.4165,0.5554,0.4165,0,0,0,0,0,0,0,0
44,2019-02-01T17:20:00Z,1.30897,1.309,0.5486,0.7639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2019-02-01T17:40:00Z,1.30885,1.309,0.5553,0.7427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,2019-02-01T18:00:00Z,1.30844,1.3085,0.4789,0.7773,0.5622,0.7357,0.5622,0.7357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,2019-02-01T18:20:00Z,1.30773,1.3075,0.4580,0.6175,0.4510,0.6939,0.4510,0.6939,0.4510,0.6939,0.4510,0.6939,0.5343,0.7355,0.5343,0.7355,0,0,0,0,0,0,0,0
48,2019-02-01T18:40:00Z,1.30806,1.308,0.4790,0.6734,0.4513,0.7012,0.4513,0.7012,0.5346,0.7220,0.5346,0.7220,0,0,0,0,0,0,0,0,0,0,0,0
49,2019-02-01T19:00:00Z,1.30839,1.3085,0.4514,0.6875,0.5139,0.7153,0.5139,0.7153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2019-02-01T19:20:00Z,1.30797,1.308,0.5208,0.7361,0.4514,0.6875,0.4514,0.6875,0.5139,0.7014,0.5139,0.7014,0,0,0,0,0,0,0,0,0,0,0,0
51,2019-02-01T19:40:00Z,1.30808,1.308,0.5278,0.7570,0.4445,0.6806,0.4445,0.6806,0.5139,0.6875,0.5139,0.6875,0,0,0,0,0,0,0,0,0,0,0,0
52,2019-02-01T20:00:00Z,1.30832,1.3085,0.4517,0.6741,0.5004,0.6741,0.5004,0.6741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,2019-02-01T20:20:00Z,1.30791,1.308,0.5283,0.7437,0.4448,0.6603,0.4448,0.6603,0.4935,0.6673,0.4935,0.6673,0,0,0,0,0,0,0,0,0,0,0,0
54,2019-02-01T20:40:00Z,1.30818,1.308,0.5631,0.7856,0.4449,0.6396,0.4449,0.6396,0.4936,0.6674,0.4936,0.6674,0,0,0,0,0,0,0,0,0,0,0,0
55,2019-02-01T21:00:00Z,1.30822,1.308,0.5708,0.7866,0.4455,0.6265,0.4455,0.6265,0.4803,0.6683,0.4803,0.6683,0,0,0,0,0,0,0,0,0,0,0,0
56,2019-02-01T21:20:00Z,1.30815,1.308,0.5714,0.8014,0.4321,0.6202,0.4321,0.6202,0.4808,0.6829,0.4808,0.6829,0,0,0,0,0,0,0,0,0,0,0,0
57,2019-02-01T21:40:00Z,1.30851,1.3085,0.4462,0.6345,0.4741,0.7111,0.4741,0.7111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,2019-02-01T22:00:00Z,1.30798,1.308,0.5928,0.8927,0.4603,0.6207,0.4603,0.6207,0.4673,0.7044,0.4673,0.7044,0,0,0,0,0,0,0,0,0,0,0,0
59,2019-02-01T22:20:00Z,1.30798,1.308,0.5930,0.8859,0.4604,0.6209,0.4604,0.6209,0.4674,0.7046,0.4674,0.7046,0,0,0,0,0,0,0,0,0,0,0,0
60,2019-02-01T22:40:00Z,1.30798,1.308,0.5930,0.8859,0.4604,0.6209,0.4604,0.6209,0.4674,0.7046,0.4674,0.7046,0,0,0,0,0,0,0,0,0,0,0,0
61,2019-02-01T23:00:00Z,1.30798,1.308,0.5930,0.8859,0.4604,0.6209,0.4604,0.6209,0.4674,0.7046,0.4674,0.7046,0,0,0,0,0,0,0,0,0,0,0,0
62,2019-02-01T23:20:00Z,1.30798,1.308,0.5930,0.8859,0.4604,0.6209,0.4604,0.6209,0.4674,0.7046,0.4674,0.7046,0,0,0,0,0,0,0,0,0,0,0,0
63,2019-02-01T23:40:00Z,1.30798,1.308,0.5930,0.8859,0.4604,0.6209,0.4604,0.6209,0.4674,0.7046,0.4674,0.7046,0,0,0,0,0,0,0,0,0,0,0,0
64,2019-02-02T00:00:00Z,1.30798,1.308,0.5930,0.8859,0.4604,0.6209,0.4604,0.6209,0.4674,0.7046,0.4674,0.7046,0,0,0,0,0,0,0,0,0,0,0,0
65,2019-02-02T00:20:00Z,1.30798,1.308,0.5930,0.8859,0.4604,0.6209,0.4604,0.6209,0.4674,0.7046,0.4674,0.7046,0,0,0,0,0,0,0,0,0,0,0,0
66,2019-02-02T00:40:00Z,1.30798,1.308,0.5930,0.8859,0.4604,0.6209,0.4604,0.6209,0.4674,0.7046,0.4674,0.7046,0,0,0,0,0,0,0,0,0,0,0,0
67,2019-02-02T01:00:00Z,1.30798,1.308,0.5930,0.8859,0.4604,0.6209,0.4604,0.6209,0.4674,0.7046,0.4674,0.7046,0,0,0,0,0,0,0,0,0,0,0,0
68,2019-02-02T01:20:00Z,1.30798,1.308,0.5930,0.8859,0.4604,0.6209,0.4604,0.6209,0.4674,0.7046,0.4674,0.7046,0,0,0,0,0,0,0,0,0,0,0,0
69,2019-02-02T01:40:00Z,1.30798,1.308,0.5930,0.8859,0.4604,0.6209,0.4604,0.6209,0.4674,0.7046,0.4674,0.7046,0,0,0,0,0,0,0,0,0,0,0,0
70,2019-02-02T02:00:00Z,1.30798,1.308,0.5930,0.8859,0.4604,0.6209,0.4604,0.6209,0.4674,0.7046,0.4674,0.7046,0,0,0,0,0,0,0,0,0,0,0,0
71,2019-02-02T02:20:00Z,1.30798,1.308,0.5930,0.8859,0.4604,0.6209,0.4604,0.6209,0.4674,0.7046,0.4674,0.7046,0,0,0,0,0,0,0,0,0,0,0,0
72,2019-02-02T02:40:00Z,1.30798,1.308,0.5930,0.8859,0.4604,0.6209,0.4604,0.6209,0.4674,0.7046,0.4674,0.7046,0,0,0,0,0,0,0,0,0,0,0,0
73,2019-02-02T03:00:00Z,1.30798,1.308,0.5930,0.8859,0.4604,0.6209,0.4604,0.6209,0.4674,0.7046,0.4674,0.7046,0,0,0,0,0,0,0,0,0,0,0,0
74,2019-02-02T03:20:00Z,1.30798,1.308,0.5930,0.8859,0.4604,0.6209,0.4604,0.6209,0.4674,0.7046,0.4674,0.7046,0,0,0,0,0,0,0,0,0,0,0,0
75,2019-02-02T03:40:00Z,1.30798,1.308,0.5930,0.8859,0.4604,0.6209,0.4604,0.6209,0.4674,0.7046,0.4674,0.7046,0,0,0,0,0,0,0,0,0,0,0,0
76,2019-02-02T04:00:00Z,1.30798,1.308,0.5930,0.8859,0.4604,0.6209,0.4604,0.6209,0.4674,0.7046,0.4674,0.7046,0,0,0,0,0,0,0,0,0,0,0,0
77,2019-02-02T04:20:00Z,1.30798,1.308,0.5930,0.8859,0.4604,0.6209,0.4604,0.6209,0.4674,0.7046,0.4674,0.7046,0,0,0,0,0,0,0,0,0,0,0,0
78,2019-02-02T04:40:00Z,1.30798,1.308,0.5930,0.8859,0.4604,0.6209,0.4604,0.6209,0.4674,0.7046,0.4674,0.7046,0,0,0,0,0,0,0,0,0,0,0,0
79,2019-02-02T05:00:00Z,1.30798,1.308,0.5930,0.8859,0.4604,0.6209,0.4604,0.6209,0.4674,0.7046,0.4674,0.7046,0,0,0,0,0,0,0,0,0,0,0,0
80,2019-02-02T05:20:00Z,1.30798,1.308,0.5930,0.8859,0.4604,0.6209,0.4604,0.6209,0.4674,0.7046,0.4674,0.7046,0,0,0,0,0,0,0,0,0,0,0,0
81,2019-02-02T05:40:00Z,1.30798,1.308,0.5930,0.8859,0.4604,0.6209,0.4604,0.6209,0.4674,0.7046,0.4674,0.7046,0,0,0,0,0,0,0,0,0,0,0,0
82,2019-02-02T06:00:00Z,1.30798,1.308,0.5930,0.8859,0.4604,0.6209,0.4604,0.6209,0.4674,0.7046,0.4674,0.7046,0,0,0,0,0,0,0,0,0,0,0,0
83,2019-02-02T06:20:00Z,1.30798,1.308,0.5930,0.8859,0.4604,0.6209,0.4604,0.6209,0.4674,0.7046,0.4674,0.7046,0,0,0,0,0,0,0,0,0,0,0,0
84,2019-02-02T06:40:00Z,1.30798,1.308,0.5930,0.8859,0.4604,0.6209,0.4604,0.6209,0.4674,0.7046,0.4674,0.7046,0,0,0,0,0,0,0,0,0,0,0,0
85,2019-02-02T07:00:00Z,1.30798,1.308,0.5930,0.8859,0.4604,0.6209,0.4604,0.6209,0.4674,0.7046,0.4674,0.7046,0,0,0,0,0,0,0,0,0,0,0,0
86,2019-02-02T07:20:00Z,1.30798,1.308,0.5930,0.8859,0.4604,0.6209,0.4604,0.6209,0.4674,0.7046,0.4674,0.7046,0,0,0,0,0,0,0,0,0,0,0,0
87,2019-02-02T07:40:00Z,1.30798,1.308,0.5930,0.8859,0.4604,0.6209,0.4604,0.6209,0.4674,0.7046,0.4674,0.7046,0,0,0,0,0,0,0,0,0,0,0,0
88,2019-02-02T08:00:00Z,1.30798,1.308,0.5930,0.8859,0.4604,0.6209,0.4604,0.6209,0.4674,0.7046,0.4674,0.7046,0,0,0,0,0,0,0,0,0,0,0,0
89,2019-02-02T08:20:00Z,1.30798,1.308,0.5930,0.8859,0.4604,0.6209,0.4604,0.6209,0.4674,0.7046,0.4674,0.7046,0,0,0,0,0,0,0,0,0,0,0,0
90,2019-02-02T08:40:00Z,1.30798,1.308,0.5930,0.8859,0.4604,0.6209,0.4604,0.6209,0.4674,0.7046,0.4674,0.7046,0,0,0,0,0,0,0,0,0,0,0,0
91,2019-02-02T09:00:00Z,1.30798,1.308,0.5930,0.8859,0.4604,0.6209,0.4604,0.6209,0.4674,0.7046,0.4674,0.7046,0,0,0,0,0,0,0,0,0,0,0,0
92,2019-02-02T09:20:00Z,1.30798,1.308,0.5930,0.8859,0.4604,0.6209,0.4604,0.6209,0.4674,0.7046,0.4674,0.7046,0,0,0,0,0,0,0,0,0,0,0,0
93,2019-02-02T09:40:00Z,1.30798,1.308,0.5930,0.8859,0.4604,0.6209,0.4604,0.6209,0.4674,0.7046,0.4674,0.7046,0,0,0,0,0,0,0,0,0,0,0,0
94,2019-02-02T10:00:00Z,1.30798,1.308,0.5930,0.8859,0.4604,0.6209,0.4604,0.6209,0.4674,0.7046,0.4674,0.7046,0,0,0,0,0,0,0,0,0,0,0,0
95,2019-02-02T10:20:00Z,1.30798,1.308,0.5930,0.8859,0.4604,0.6209,0.4604,0.6209,0.4674,0.7046,0.4674,0.7046,0,0,0,0,0,0,0,0,0,0,0,0
96,2019-02-02T10:40:00Z,1.30798,1.308,0.5930,0.8859,0.4604,0.6209,0.4604,0.6209,0.4674,0.7046,0.4674,0.7046,0,0,0,0,0,0,0,0,0,0,0,0
97,2019-02-02T11:00:00Z,1.30798,1.308,0.5930,0.8859,0.4604,0.6209,0.4604,0.6209,0.4674,0.7046,0.4674,0.7046,0,0,0,0,0,0,0,0,0,0,0,0
98,2019-02-02T11:20:00Z,1.30798,1.308,0.5930,0.8859,0.4604,0.6209,0.4604,0.6209,0.4674,0.7046,0.4674,0.7046,0,0,0,0,0,0,0,0,0,0,0,0
99,2019-02-02T11:40:00Z,1.30798,1.308,0.5930,0.8859,0.4604,0.6209,0.4604,0.6209,0.4674,0.7046,0.4674,0.7046,0,0,0,0,0,0,0,0,0,0,0,0
100,2019-02-02T12:00:00Z,1.30798,1.308,0.5930,0.8859,0.4604,0.6209,0.4604,0.6209,0.4674,0.7046,0.4674,0.7046,0,0,0,0,0,0,0,0,0,0,0,0
101,2019-02-02T12:20:00Z,1.30798,1.308,0.5930,0.8859,0.4604,0.6209,0.4604,0.6209,0.4674,0.7046,0.4674,0.7046,0,0,0,0,0,0,0,0,0,0,0,0
102,2019-02-02T12:40:00Z,1.30798,1.308,0.5930,0.8859,0.4604,0.6209,0.4604,0.6209,0.4674,0.7046,0.4674,0.7046,0,0,0,0,0,0,0,0,0,0,0,0
103,2019-02-02T13:00:00Z,1.30798,1.308,0.5930,0.8859,0.4604,0.6209,0.4604,0.6209,0.4674,0.7046,0.4674,0.7046,0,0,0,0,0,0,0,0,0,0,0,0
104,2019-02-02T13:20:00Z,1.30798,1.308,0.5930,0.8859,0.4604,0.6209,0.4604,0.6209,0.4674,0.7046,0.4674,0.7046,0,0,0,0,0,0,0,0,0,0,0,0
105,2019-02-02T13:40:00Z,1.30798,1.308,0.5930,0.8859,0.4604,0.6209,0.4604,0.6209,0.4674,0.7046,0.4674,0.7046,0,0,0,0,0,0,0,0,0,0,0,0
106,2019-02-02T14:00:00Z,1.30798,1.308,0.5930,0.8859,0.4604,0.6209,0.4604,0.6209,0.4674,0.7046,0.4674,0.7046,0,0,0,0,0,0,0,0,0,0,0,0
107,2019-02-02T14:20:00Z,1.30798,1.308,0.5930,0.8859,0.4604,0.6209,0.4604,0.6209,0.4674,0.7046,0.4674,0.7046,0,0,0,0,0,0,0,0,0,0,0,0
108,2019-02-02T14:40:00Z,1.30798,1.308,0.5930,0.8859,0.4604,0.6209,0.4604,0.6209,0.4674,0.7046,0.4674,0.7046,0,0,0,0,0,0,0,0,0,0,0,0
109,2019-02-02T15:00:00Z,1.30798,1.308,0.5930,0.8859,0.4604,0.6209,0.4604,0.6209,0.4674,0.7046,0.4674,0.7046,0,0,0,0,0,0,0,0,0,0,0,0
110,2019-02-02T15:20:00Z,1.30798,1.308,0.5930,0.8859,0.4604,0.6209,0.4604,0.6209,0.4674,0.7046,0.4674,0.7046,0,0,0,0,0,0,0,0,0,0,0,0
111,2019-02-02T15:40:00Z,1.30798,1.308,0.5930,0.8859,0.4604,0.6209,0.4604,0.6209,0.4674,0.7046,0.4674,0.7046,0,0,0,0,0,0,0,0,0,0,0,0
112,2019-02-02T16:00:00Z,1.30798,1.308,0.5930,0.8859,0.4604,0.6209,0.4604,0.6209,0.4674,0.7046,0.4674,0.7046,0,0,0,0,0,0,0,0,0,0,0,0
113,2019-02-02T16:20:00Z,1.30798,1.308,0.5930,0.8859,0.4604,0.6209,0.4604,0.6209,0.4674,0.7046,0.4674,0.7046,0,0,0,0,0,0,0,0,0,0,0,0
114,2019-02-02T16:40:00Z,1.30798,1.308,0.5930,0.8859,0.4604,0.6209,0.4604,0.6209,0.4674,0.7046,0.4674,0.7046,0,0,0,0,0,0,0,0,0,0,0,0
115,2019-02-02T17:00:00Z,1.30798,1.308,0.5930,0.8859,0.4604,0.6209,0.4604,0.6209,0.4674,0.7046,0.4674,0.7046,0,0,0,0,0,0,0,0,0,0,0,0
116,2019-02-02T17:20:00Z,1.30798,1.308,0.5930,0.8859,0.4604,0.6209,0.4604,0.6209,0.4674,0.7046,0.4674,0.7046,0,0,0,0,0,0,0,0,0,0,0,0
117,2019-02-02T17:40:00Z,1.30798,1.308,0.5930,0.8859,0.4604,0.6209,0.4604,0.6209,0.4674,0.7046,0.4674,0.7046,0,0,0,0,0,0,0,0,0,0,0,0
118,2019-02-02T18:00:00Z,1.30798,1.308,0.5930,0.8859,0.4604,0.6209,0.4604,0.6209,0.4674,0.7046,0.4674,0.7046,0,0,0,0,0,0,0,0,0,0,0,0
119,2019-02-02T18:20:00Z,1.30798,1.308,0.5930,0.8859,0.4604,0.6209,0.4604,0.6209,0.4674,0.7046,0.4674,0.7046,0,0,0,0,0,0,0,0,0,0,0,0
120,2019-02-02T18:40:00Z,1.30798,1.308,0.5930,0.8859,0.4604,0.6209,0.4604,0.6209,0.4674,0.7046,0.4674,0.7046,0,0,0,0,0,0,0,0,0,0,0,0
121,2019-02-02T19:00:00Z,1.30798,1.308,0.5930,0.8859,0.4604,0.6209,0.4604,0.6209,0.4674,0.7046,0.4674,0.7046,0,0,0,0,0,0,0,0,0,0,0,0
122,2019-02-02T19:20:00Z,1.30798,1.308,0.5930,0.8859,0.4604,0.6209,0.4604,0.6209,0.4674,0.7046,0.4674,0.7046,0,0,0,0,0,0,0,0,0,0,0,0
123,2019-02-02T19:40:00Z,1.30798,1.308,0.5930,0.8859,0.4604,0.6209,0.4604,0.6209,0.4674,0.7046,0.4674,0.7046,0,0,0,0,0,0,0,0,0,0,0,0
124,2019-02-02T20:00:00Z,1.30798,1.308,0.5930,0.8859,0.4604,0.6209,0.4604,0.6209,0.4674,0.7046,0.4674,0.7046,0,0,0,0,0,0,0,0,0,0,0,0
125,2019-02-02T20:20:00Z,1.30798,1.308,0.5930,0.8859,0.4604,0.6209,0.4604,0.6209,0.4674,0.7046,0.4674,0.7046,0,0,0,0,0,0,0,0,0,0,0,0
126,2019-02-02T20:40:00Z,1.30798,1.308,0.5930,0.8859,0.4604,0.6209,0.4604,0.6209,0.4674,0.7046,0.4674,0.7046,0,0,0,0,0,0,0,0,0,0,0,0
127,2019-02-02T21:00:00Z,1.30798,1.308,0.5930,0.8859,0.4604,0.6209,0.4604,0.6209,0.4674,0.7046,0.4674,0.7046,0,0,0,0,0,0,0,0,0,0,0,0
128,2019-02-02T21:20:00Z,1.30798,1.308,0.5930,0.8859,0.4604,0.6209,0.4604,0.6209,0.4674,0.7046,0.4674,0.7046,0,0,0,0,0,0,0,0,0,0,0,0
129,2019-02-02T21:40:00Z,1.30798,1.308,0.5930,0.8859,0.4604,0.6209,0.4604,0.6209,0.4674,0.7046,0.4674,0.7046,0,0,0,0,0,0,0,0,0,0,0,0
130,2019-02-02T22:00:00Z,1.30798,1.308,0.5930,0.8859,0.4604,0.6209,0.4604,0.6209,0.4674,0.7046,0.4674,0.7046,0,0,0,0,0,0,0,0,0,0,0,0
