,time,price,roundedPrice,level_0_l,level_0_s,level_1_up_l,level_1_up_s,level_1_down_l,level_1_down_s,level_2_up_l,level_2_up_s,level_2_down_l,level_2_down_s,level_3_up_l,level_3_up_s,level_3_down_l,level_3_down_s,level_4_up_l,level_4_up_s,level_4_down_l,level_4_down_s,level_5_up_l,level_5_up_s,level_5_down_l,level_5_down_s
0,2019-02-01T00:20:00Z,1.14496,1.1445,0.0433,0.0541,0.1028,0.1813,0.1028,0.1813,0.1489,0.2328,0.1489,0.2328,0.1299,0.1326,0.1299,0.1326,0,0,0,0,0,0,0,0
1,2019-02-01T00:20:00Z,1.14496,1.1445,0.0433,0.0541,0.1028,0.1813,0.1028,0.1813,0.1489,0.2328,0.1489,0.2328,0.1299,0.1326,0.1299,0.1326,0,0,0,0,0,0,0,0
2,2019-02-01T00:40:00Z,1.14491,1.1445,0.0298,0.0298,0.0812,0.1948,0.0812,0.1948,0.1623,0.2489,0.1623,0.2489,0.1326,0.1407,0.1326,0.1407,0,0,0,0,0,0,0,0
3,2019-02-01T01:00:00Z,1.14483,1.1445,0.0297,0.0351,0.0783,0.1945,0.0783,0.1945,0.1756,0.2593,0.1756,0.2593,0.1378,0.1459,0.1378,0.1459,0,0,0,0,0,0,0,0
4,2019-02-01T01:20:00Z,1.14456,1.1445,0.0324,0.0189,0.0836,0.1862,0.0836,0.1862,0.1781,0.2617,0.1781,0.2617,0.1349,0.1457,0.1349,0.1457,0,0,0,0,0,0,0,0
5,2019-02-01T01:40:00Z,1.14383,1.1445,0.0378,0.0918,0.1053,0.1485,0.1053,0.1485,0.1808,0.2402,0.1808,0.2402,0.1377,0.1431,0.1377,0.1431,0,0,0,0,0,0,0,0
6,2019-02-01T02:00:00Z,1.14426,1.1445,0.0378,0.0971,0.1079,0.1699,0.1079,0.1699,0.1753,0.2346,0.1753,0.2346,0.1375,0.1429,0.1375,0.1429,0,0,0,0,0,0,0,0
7,2019-02-01T02:20:00Z,1.14398,1.1445,0.0566,0.0916,0.1051,0.1643,0.1051,0.1643,0.1778,0.2317,0.1778,0.2317,0.1428,0.1455,0.1428,0.1455,0,0,0,0,0,0,0,0
8,2019-02-01T02:40:00Z,1.14409,1.1445,0.0538,0.1131,0.0942,0.1804,0.0942,0.1804,0.1831,0.2342,0.1831,0.2342,0.1427,0.1454,0.1427,0.1454,0,0,0,0,0,0,0,0
9,2019-02-01T03:00:00Z,1.14428,1.1445,0.0618,0.1103,0.0995,0.1882,0.0995,0.1882,0.1802,0.2313,0.1802,0.2313,0.1398,0.1425,0.1398,0.1425,0,0,0,0,0,0,0,0
