,time,price,roundedPrice,level_0_l,level_0_s,level_1_up_l,level_1_up_s,level_1_down_l,level_1_down_s,level_2_up_l,level_2_up_s,level_2_down_l,level_2_down_s,level_3_up_l,level_3_up_s,level_3_down_l,level_3_down_s,level_4_up_l,level_4_up_s,level_4_down_l,level_4_down_s,level_5_up_l,level_5_up_s,level_5_down_l,level_5_down_s
0,2019-02-01T00:00:00Z,1.14485,1.145,0.1057,0.1545,0.1463,0.2195,0.1463,0.2195,0.1301,0.1328,0.1301,0.1328,0,0,0,0,0,0,0,0,0,0,0,0
1,2019-02-01T00:20:00Z,1.14496,1.145,0.1028,0.1813,0.1489,0.2328,0.1489,0.2328,0.1299,0.1326,0.1299,0.1326,0,0,0,0,0,0,0,0,0,0,0,0
2,2019-02-01T00:40:00Z,1.14491,1.145,0.0812,0.1948,0.1623,0.2489,0.1623,0.2489,0.1326,0.1407,0.1326,0.1407,0,0,0,0,0,0,0,0,0,0,0,0
3,2019-02-01T01:00:00Z,1.14483,1.145,0.0783,0.1945,0.1756,0.2593,0.1756,0.2593,0.1378,0.1459,0.1378,0.1459,0,0,0,0,0,0,0,0,0,0,0,0
4,2019-02-01T01:20:00Z,1.14456,1.1445,0.0324,0.0189,0.0836,0.1862,0.0836,0.1862,0.1781,0.2617,0.1781,0.2617,0.1349,0.1457,0.1349,0.1457,0,0,0,0,0,0,0,0
5,2019-02-01T01:40:00Z,1.14383,1.144,0.0459,0.0189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2019-02-01T02:00:00Z,1.14426,1.1445,0.0378,0.0971,0.1079,0.1699,0.1079,0.1699,0.1753,0.2346,0.1753,0.2346,0.1375,0.1429,0.1375,0.1429,0,0,0,0,0,0,0,0
7,2019-02-01T02:20:00Z,1.14398,1.144,0.0216,0.0135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2019-02-01T02:40:00Z,1.14409,1.144,0.0162,0.0296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2019-02-01T03:00:00Z,1.14428,1.1445,0.0618,0.1103,0.0995,0.1882,0.0995,0.1882,0.1802,0.2313,0.1802,0.2313,0.1398,0.1425,0.1398,0.1425,0,0,0,0,0,0,0,0
10,2019-02-01T03:20:00Z,1.14452,1.1445,0.0672,0.1289,0.1074,0.2095,0.1074,0.2095,0.1800,0.2364,0.1800,0.2364,0.1424,0.1504,0.1424,0.1504,0,0,0,0,0,0,0,0
11,2019-02-01T03:40:00Z,1.14465,1.1445,0.0456,0.1074,0.1074,0.2094,0.1074,0.2094,0.1879,0.2497,0.1879,0.2497,0.1423,0.1503,0.1423,0.1503,0,0,0,0,0,0,0,0
12,2019-02-01T04:00:00Z,1.14421,1.144,0.0295,0.0080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2019-02-01T04:20:00Z,1.14416,1.144,0.0322,0.0214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2019-02-01T04:40:00Z,1.14402,1.144,0.0214,0.0428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2019-02-01T05:00:00Z,1.14421,1.144,0.0134,0.0268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2019-02-01T05:20:00Z,1.14412,1.144,0.0214,0.0321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2019-02-01T05:40:00Z,1.14376,1.144,0.0214,0.0375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
