,time,price,roundedPrice,level_0_l,level_0_s,level_1_up_l,level_1_up_s,level_1_down_l,level_1_down_s,level_2_up_l,level_2_up_s,level_2_down_l,level_2_down_s,level_3_up_l,level_3_up_s,level_3_down_l,level_3_down_s,level_4_up_l,level_4_up_s,level_4_down_l,level_4_down_s,level_5_up_l,level_5_up_s,level_5_down_l,level_5_down_s
0,2019-01-03T15:40:00Z,1.13998,1.14,0.0065,0.0978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2019-01-03T16:00:00Z,1.13931,1.1395,0.0326,0.0783,0.0359,0.0783,0.0359,0.0783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2019-01-03T16:20:00Z,1.13987,1.14,0.0426,0.1277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2019-01-03T16:40:00Z,1.13976,1.14,0.0459,0.0360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2019-01-03T17:00:00Z,1.13987,1.14,0.0131,0.0328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2019-01-03T17:20:00Z,1.13990,1.14,0.0098,0.0425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2019-01-03T17:40:00Z,1.14006,1.14,0.0033,0.0196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2019-01-03T18:00:00Z,1.13988,1.14,0.0228,0.0130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2019-01-03T18:20:00Z,1.14034,1.1405,0.0586,0.1660,0.2442,0.3484,0.2442,0.3484,0.3679,0.6870,0.3679,0.6870,0.2149,1.4000,0.2149,1.4000,0,0,0,0,0,0,0,0
9,2019-01-03T18:40:00Z,1.13990,1.14,0.0065,0.0195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2019-01-03T19:00:00Z,1.14007,1.14,0.0162,0.0227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2019-01-03T19:20:00Z,1.14003,1.14,0.0162,0.0259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2019-01-03T19:40:00Z,1.13908,1.139,0.0227,0.0130,0.0454,0.0260,0.0454,0.0260,0.0292,0.0649,0.0292,0.0649,0,0,0,0,0,0,0,0,0,0,0,0
13,2019-01-03T20:00:00Z,1.13915,1.139,0.0065,0.0195,0.1006,0.0908,0.1006,0.0908,0.0616,0.0714,0.0616,0.0714,0,0,0,0,0,0,0,0,0,0,0,0
14,2019-01-03T20:20:00Z,1.13983,1.14,0.0681,0.0973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2019-01-03T20:40:00Z,1.13989,1.14,0.0649,0.0812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2019-01-03T21:00:00Z,1.13984,1.14,0.0585,0.0779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2019-01-03T21:20:00Z,1.13988,1.14,0.0580,0.0902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2019-01-03T21:40:00Z,1.13965,1.1395,0.0257,0.0193,0.0610,0.0770,0.0610,0.0770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2019-01-03T22:00:00Z,1.13941,1.1395,0.0321,0.0289,0.0577,0.0706,0.0577,0.0706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2019-01-03T22:20:00Z,1.13915,1.139,0.0064,0.0193,0.0385,0.0289,0.0385,0.0289,0.0707,0.0899,0.0707,0.0899,0,0,0,0,0,0,0,0,0,0,0,0
21,2019-01-03T22:40:00Z,1.13936,1.1395,0.0064,0.0289,0.0096,0.0965,0.0096,0.0965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2019-01-03T23:00:00Z,1.13938,1.1395,0.0161,0.0385,0.0128,0.1027,0.0128,0.1027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2019-01-03T23:20:00Z,1.13946,1.1395,0.0224,0.0481,0.0192,0.1058,0.0192,0.1058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2019-01-03T23:40:00Z,1.13963,1.1395,0.0128,0.0577,0.0288,0.1025,0.0288,0.1025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2019-01-04T00:00:00Z,1.13902,1.139,0.0192,0.0160,0.0256,0.0800,0.0256,0.0800,0.0128,0.1152,0.0128,0.1152,0,0,0,0,0,0,0,0,0,0,0,0
26,2019-01-04T00:20:00Z,1.13946,1.1395,0.0256,0.0928,0.0224,0.1248,0.0224,0.1248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2019-01-04T00:40:00Z,1.13985,1.14,0.0256,0.1278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2019-01-04T01:00:00Z,1.14056,1.1405,0.0797,0.2167,0.2963,0.3505,0.2963,0.3505,0.3505,0.6724,0.3505,0.6724,0.2709,1.4467,0.2709,1.4467,0,0,0,0,0,0,0,0
29,2019-01-04T01:20:00Z,1.14055,1.1405,0.0096,0.0416,0.1503,0.2910,0.1503,0.2910,0.3709,0.7002,0.3709,0.7002,0.2782,1.4612,0.2782,1.4612,0,0,0,0,0,0,0,0
30,2019-01-04T01:40:00Z,1.14075,1.1405,0.0223,0.0128,0.1596,0.3065,0.1596,0.3065,0.3703,0.6959,0.3703,0.6959,0.2745,1.4589,0.2745,1.4589,0,0,0,0,0,0,0,0
31,2019-01-04T02:00:00Z,1.14041,1.1405,0.0127,0.0319,0.1880,0.3090,0.1880,0.3090,0.3759,0.6977,0.3759,0.6977,0.2708,1.4622,0.2708,1.4622,0,0,0,0,0,0,0,0
32,2019-01-04T02:20:00Z,1.14068,1.1405,0.0159,0.0478,0.1783,0.3056,0.1783,0.3056,0.3789,0.7036,0.3789,0.7036,0.2738,1.4614,0.2738,1.4614,0,0,0,0,0,0,0,0
33,2019-01-04T02:40:00Z,1.14013,1.14,0.0159,0.0191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,2019-01-04T03:00:00Z,1.13975,1.14,0.0286,0.0222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2019-01-04T03:20:00Z,1.13915,1.139,0.0065,0.0162,0.0453,0.0518,0.0453,0.0518,0.0194,0.0551,0.0194,0.0551,0,0,0,0,0,0,0,0,0,0,0,0
36,2019-01-04T03:40:00Z,1.13964,1.1395,0.0258,0.0549,0.0226,0.0743,0.0226,0.0743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,2019-01-04T04:00:00Z,1.13984,1.14,0.0322,0.0869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
