,time,price,roundedPrice,level_0_l,level_0_s,level_1_up_l,level_1_up_s,level_1_down_l,level_1_down_s,level_2_up_l,level_2_up_s,level_2_down_l,level_2_down_s,level_3_up_l,level_3_up_s,level_3_down_l,level_3_down_s,level_4_up_l,level_4_up_s,level_4_down_l,level_4_down_s,level_5_up_l,level_5_up_s,level_5_down_l,level_5_down_s
0,2019-03-01T00:00:00Z,1.13730,1.1375,1.0879,0.7964,0.7991,0.5588,0.7991,0.5588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2019-03-01T00:20:00Z,1.13693,1.137,1.1712,0.8123,1.0821,0.7934,1.0821,0.7934,0.7961,0.5532,0.7961,0.5532,0,0,0,0,0,0,0,0,0,0,0,0
2,2019-03-01T00:40:00Z,1.13711,1.137,1.1873,0.8284,1.0820,0.7906,1.0820,0.7906,0.7933,0.5532,0.7933,0.5532,0,0,0,0,0,0,0,0,0,0,0,0
3,2019-03-01T01:00:00Z,1.13703,1.137,1.1926,0.8256,1.0847,0.7852,1.0847,0.7852,0.7906,0.5450,0.7906,0.5450,0,0,0,0,0,0,0,0,0,0,0,0
4,2019-03-01T01:20:00Z,1.13721,1.137,1.2062,0.8446,1.0901,0.7825,1.0901,0.7825,0.7879,0.5424,0.7879,0.5424,0,0,0,0,0,0,0,0,0,0,0,0
5,2019-03-01T01:40:00Z,1.13725,1.1375,1.0924,0.7768,0.7822,0.5394,0.7822,0.5394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2019-03-01T02:00:00Z,1.13721,1.137,1.2858,0.8950,1.1214,0.7656,1.1214,0.7656,0.7790,0.5364,0.7790,0.5364,0,0,0,0,0,0,0,0,0,0,0,0
7,2019-03-01T02:20:00Z,1.13672,1.1365,0.8248,0.7575,1.2939,0.8761,1.2939,0.8761,1.0998,0.7548,1.0998,0.7548,0.7709,0.5310,0.7709,0.5310,0,0,0,0,0,0,0,0
8,2019-03-01T02:40:00Z,1.13665,1.1365,0.8600,0.8357,1.2724,0.8357,1.2724,0.8357,1.0864,0.7467,1.0864,0.7467,0.7791,0.5203,0.7791,0.5203,0,0,0,0,0,0,0,0
9,2019-03-01T03:00:00Z,1.13696,1.137,1.2646,0.8008,1.0624,0.7334,1.0624,0.7334,0.7604,0.5150,0.7604,0.5150,0,0,0,0,0,0,0,0,0,0,0,0
10,2019-03-01T03:20:00Z,1.13721,1.137,1.3264,0.8330,1.0595,0.7279,1.0595,0.7279,0.7603,0.5122,0.7603,0.5122,0,0,0,0,0,0,0,0,0,0,0,0
11,2019-03-01T03:40:00Z,1.13717,1.137,1.3421,0.8732,1.0565,0.7250,1.0565,0.7250,0.7573,0.5094,0.7573,0.5094,0,0,0,0,0,0,0,0,0,0,0,0
12,2019-03-01T04:00:00Z,1.13693,1.137,1.3582,0.8705,1.0483,0.7249,1.0483,0.7249,0.7573,0.5066,0.7573,0.5066,0,0,0,0,0,0,0,0,0,0,0,0
13,2019-03-01T04:20:00Z,1.13716,1.137,1.3982,0.8890,1.0480,0.7139,1.0480,0.7139,0.7570,0.5065,0.7570,0.5065,0,0,0,0,0,0,0,0,0,0,0,0
14,2019-03-01T04:40:00Z,1.13730,1.1375,1.0451,0.7138,0.7569,0.4956,0.7569,0.4956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
